"","Bastedo, Mn","Bielby, R","Posselt, Jr","Jaquette, O","Kim, J","Kleinman, M","Samuels, E","Bowman, Na","Harris, Nf","Gumport, Pj","Lattuca, Lr","Carter, Df","Ro, Hk","Alcott, B","Magolda, Mbb","Perez, Rj","Shim, W","King, Pm","Hyman, Jm","Dynarski, Sm","Hemelt, Sw","Terenzini, Pt","Merson, D","Knight, Db","Bergom, I","Barber, Jp","Litzinger, Ta","Shim, Wj","Scott-clayton, J","Dynarski, S","Knight, D","Wakefield, Km","Taylor, Kb","Bailey, Mj","Harper, Bj","Seifert, Ta","Goodman, K","Yin, Ac","Baker, Vl","Lindsay, Nk","Brown, Mk","Hamilton, Er","Chen, Hl","Jiang, Cxq","Landreman, Lm","Rasmussen, Cj","Lambert, Ad","Domingo, Rj","Volkwein, Jf","Strauss, Lc","Prados, Jw","Peterson, Gd","Kitchener, Ks","Fath, Kq","Voight, Lj","Sukhbaatar, J","Mayhew, Mj","Shuford, Bc","Stark, Js","Desousa, Dj","Wood, Pk","Mines, Ra","Hood, Ab","Fields, Al","Mccall, Bp","Desjardins, Sl","Lee, M","St John, Ep","Masse, Jc","Fisher, As","Moronski-chapman, K","Ott, M","Ahlburg, Da","Paulsen, Mb","Horwitz, Ib","Peng, Cyj","Musoba, Gd","Simmons, A","Chung, Cg","Schmit, J","Weber, J","Hu, Sp","Simmons, Ab","Moye, Mj","Canche, Mg","Toutkoushian, Rk","Hossler, D","Mccall, B","Leeds, Dm","Mcclarty, Kl","Gaertner, Mn","Chen, R","Bowman, Pj","Gonzalez, Jmb","Hendel, Dd","Dundar, H","Kelly, Kj","Wilson, Dp","Christensen, Rd","Bahr, Pr","Gross, Jl","Slay, Ke"
"Bastedo, Mn",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bielby, R",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Posselt, Jr",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaquette, O",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim, J",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Kleinman, M",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samuels, E",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowman, Na",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris, Nf",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gumport, Pj",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
